Site No.,Site Unit,Compound,Aquifer thickness[m],Plume length[m],Plume Width[m],Hydraulic conductivity[10-3 [m/s]],Electron Donor[mg/l],Electron Acceptors : O2[mg/l],NO3[mg/l],SO4[mg/l],Fe(II)[mg/l],Plume state,Chem. Group,Country,Literature Source
101,Manufacturer gas Plant sites New Jersey (A),Naphtalene,1,580,NA,0.026,9.8,NA,NA,NA,NA,N.A,BTEX,USA,Lewandowski and Mortimer 2004
102,Manufacturer gas Plant sites New Jersey (B),Naphtalene,10,600,NA,0.035,5.6,NA,NA,NA,NA,N.A,BTEX,USA,Lewandowski and Mortimer 2004
103,Manufacturer gas Plant sites New Jersey (E),Naphtalene,2,2000,NA,0.006,1.7,NA,NA,NA,NA,N.A,BTEX,USA,Lewandowski and Mortimer 2004
104,Niederg?rsdorf TL1,"1,2,4-TMB",8.5,60,NA,0.01,0.6,NA,1,10.5,44,15.5,Other HC,KORA project GERMANY,"Wabbels and Teutsch, 2008.  /Werne et al. 2008"
105,Niederg?rsdorf TL1,Ethyltoluol,8.5,100,NA,0.01,0.88,NA,1,10.5,44,15.5,Other HC,KORA project GERMANY,"Wabbels and Teutsch, 2008.  /Werne et al. 2008"
106,Niederg?rsdorf TL1,"1,2,3-TMB",8.5,100,NA,0.01,0.6,NA,1,10.5,44,15.5,Other HC,KORA project GERMANY,"Wabbels and Teutsch, 2008.  /Werne et al. 2008"
107,Niederg?rsdorf TL1,"1,3,5-TMB",8.5,100,NA,0.01,0.2,NA,1,10.5,44,15.5,Other HC,KORA project GERMANY,"Wabbels and Teutsch, 2008.  /Werne et al. 2008"
108,Niederg?rsdorf TL2,Cumol,8.5,63,NA,0.01,0.2,NA,2,10,30,30,Other HC,KORA project GERMANY,"Wabbels and Teutsch, 2008.  /Werne et al. 2008"
109,Niederg?rsdorf TL2,Ethyltoluol,8.5,63,NA,0.01,0.13,NA,2,10,30,30,Other HC,KORA project GERMANY,"Wabbels and Teutsch, 2008.  /Werne et al. 2008"
110,Brand,"1,2,4-TMB",75,80,NA,0.05,0.25,NA,1,NA,7.5,110,Other HC,KORA project GERMANY,"Wabbels and Teutsch, 2008.  /Werne et al. 2008"
111,Brand,Ethyltoluol,75,80,NA,0.05,0.16,NA,1,NA,7.5,110,Other HC,KORA project GERMANY,"Wabbels and Teutsch, 2008.  /Werne et al. 2008"
112,Metlen,MTBE,3.75,2000,NA,1.7,290,NA,0.6,5,650,0.3,Other HC,KORA project GERMANY,"Wabbels and Teutsch, 2008.  /Werne et al. 2008"
